Fixed_asset,Current_assets,Liabilities,Net_turnover,Personal_expenses,Amortisation
2.487,5.409,2.876,11.153,1.88,0.265
3.783,1.657,3.319,5.011,1.157,0.337
23.387,36.965,50.564,90.502,14.439,2.842
0.157,0.318,0.206,0.701,0.093,0.019
21.111,18.369,23.314,52.205,9.205,2.272
35.634,34.991,32.324,86.319,10.147,5.151
73.029,44.328,48.843,115.056,13.281,7.487
12.115,15.617,13.68,40.181,4.53,1.175
81.178,88.536,97.73,227.371,32.078,10.116
5.71,9.714,1.881,14.578,1.347,0.836
4.827,4.004,5.424,12.751,2.764,0.539
11.04,11.204,6.843,17.368,5.447,1.755
2.138,1.836,2.933,4.912,1.01,0.212
8.319,6.283,4.171,12.516,7.11,0.761
4.7,6.55,4.223,15.069,3.098,0.875
0.169,0.627,0.244,1.416,0.375,0.023
3.014,4.213,1.574,4.165,0.901,0.274
0.627,0.684,0.69,1.392,0.391,0.108
2.533,6.517,4.658,15.276,3.275,0.523
13.987,5.176,5.517,10.268,2.802,0.694
35.249,25.14,35.452,55.841,7.399,3.341
50.805,23.783,25.572,61.812,6.285,2.932
2.062,1.539,1.033,5.573,0.24,0.123
31.601,25.785,28.006,67.442,8.898,2.938
0.123,0.381,0.532,1.337,0.136,0.016
15.178,16.514,14.009,45.82,3.212,1.317
5.884,3.883,4.693,12.383,1.427,0.637
0.086,0.279,0.248,0.909,0.319,0.02
3.457,4.317,3.803,13.202,1.559,0.38
4.918,5.305,5.671,11.788,1.496,0.347
1.081,0.851,0.697,2.728,0.703,0.094
16.795,14.814,17.587,42.225,4.107,2.481
88.673,73.221,118.15,173.128,22.065,8.423
1.268,2.768,2.485,7.606,0.845,0.121
2.297,2.839,2.215,4.243,0.6,0.129
1.25,1.724,1.363,3.507,0.302,0.085
0.936,5.877,5.397,23.646,2.005,0.216
2.173,1.103,1.283,2.265,0.516,0.043
19.792,19.745,16.408,52.16,7.436,2.673
0.221,0.097,0.183,0.286,0.061,0.02
1.145,0.468,0.616,1.152,0.188,0.043
3.897,3.866,4.41,12.764,3.79,0.419
0.678,0.374,0.846,1.651,0.556,0.084
37.206,33.178,23.133,81.475,10.815,4.542
0.168,0.477,0.421,2.019,0.348,0.025
76.234,102.064,94.984,274.071,52.203,8.487
4.544,8.296,6.868,18.742,2.052,0.444
4.297,6.368,6.281,16.038,3.61,0.414
12.486,9.885,13.544,26.843,3.346,1.572
10.213,9.955,14.754,20.399,3.116,1.086
69.914,173.128,62.942,150.059,16.778,7.21
8.302,8.723,9.652,24.103,4.179,1.013
41.457,40.845,49.002,107.542,19.943,5.249
0.121,0.568,0.739,0.391,0.141,0.031
24.728,13.518,18.446,36.775,8.176,2.264
4.795,7.777,5.688,12.628,2.282,0.716
0.264,0.504,0.315,1.573,0.207,0.038
14.587,14.965,14.028,37.998,5.503,1.657
5.506,7.825,5.748,20.548,7.068,1.057
1.937,2.469,1.734,5.702,0.969,0.262
16.318,25.157,17.56,57.965,10.98,1.797
8.476,9.347,9.071,21.402,5.549,1.212
6.106,8.419,8.133,21.731,4.842,0.702
6.289,7.194,6.42,15.85,3.057,0.715
19.982,16.304,23.554,23.265,4.067,1.639
0.566,0.674,0.569,1.915,0.313,0.071
9.698,12.888,11.454,34.62,6.466,0.994
11.419,23.412,18.988,56.745,7.738,1.841
24.12,39.209,34.036,92.017,20.193,3.078
0.399,0.382,0.315,1.432,0.347,0.06
9.017,13.836,9.973,36.253,7.534,1.175
5.553,2.99,5.87,1.847,0.526,0.134
0.432,0.262,0.295,0.85,0.209,0.076
10.391,13.019,12.734,24.336,6.025,1.56
0.285,1.289,1.383,3.577,1.529,0.049
9.622,10.447,8.122,21.279,5.775,0.74
9.911,10.475,13.925,26.341,5.588,1.23
0.682,1.125,0.796,2.066,0.627,0.103
0.656,0.763,0.569,2.398,0.662,0.07
15.37,29.445,26.506,77.867,14.082,1.918
0.995,1.237,1.916,2.024,0.771,0.066
46.217,104.226,49.437,147.88,13.713,4.24
8.455,9.349,7.92,16.942,3.201,0.531
1.442,4.81,4.044,9.606,1.567,0.337
63.717,63.116,109.782,205.367,9.719,3.365
32.114,30.637,42.623,59.382,12.545,2.854
19.224,25.899,23.158,62.425,11.505,2.516
29.013,35.203,36.792,87.829,13.558,2.686
8.984,5.468,2.929,14.008,1.264,1.166
183.93,308.207,165.542,441.245,52.72,13
71.569,82.059,54.114,233.542,31.586,10.013
21.742,113.681,88.362,482.554,18.328,5.049
265.117,110.992,133.231,335.341,52.478,22.694
38.379,77.894,45.63,252.722,16.433,6.113
92.825,245.114,125.441,732.734,20.238,9.966
18.565,34.474,20.193,53.242,12.093,2.221
13.563,21.53,11.205,50.533,10.793,1.517
11.9,18.867,10.705,40.569,6.071,1.395
2.829,2.048,1.331,5.108,1.037,0.156
0.149,0.315,0.436,0.219,0.021,0.019
65.747,79.302,37.127,213.681,13.247,11.375
13.46,26.724,29.634,63.519,5.26,1.481
523.213,641.339,229.135,1608.652,86.755,77.236
0.279,0.34,0.396,0.911,0.234,0.052
0.654,0.528,0.864,1.673,0.207,0.07
15.578,36.861,35.237,73.196,17.147,2.349
5.258,6.422,8.801,14.219,4.641,0.73
1.63,3.546,3.163,6.156,0.755,0.258
0.003,0.025,0.027,0.061,0.013,0.001
1.699,1.727,1.609,5.969,1.345,0.12
10.521,12.196,11.225,33.093,6.693,1.021
6.362,6.058,6.358,16.18,2.998,0.677
3.362,3.639,4.745,10.141,1.978,0.356
12.325,15.898,16.495,43.92,7.479,1.54
1.642,2.484,1.584,6.79,0.994,0.142
0.325,1.191,0.361,1.865,0.361,0.048
0.711,2.003,2.042,3.34,0.502,0.083
0.373,0.25,0.438,0.812,0.19,0.043
2.736,3.388,3.452,6.995,1.02,0.258
3.896,3.412,4.554,8.022,2.172,0.639
0.029,0.109,0.167,0.308,0.09,0.01
0.972,1.44,1.097,3.956,1.989,0.159
6.393,9.739,7.931,20.547,4.12,0.741
5.374,8.614,9.158,38.731,1.88,0.634
3.177,2.135,3.902,5.556,0.7,0.299
428.231,168.998,266.14,369.223,63.64,43.743
316.152,39.318,86.615,418.094,8.732,11.837
